Fragment.ID	GSM27015.26.M	GSM27016.26.M	GSM27018.29.M	GSM27021.37.M	GSM27023.40.M	GSM27024.42.M	GSM27025.45.M	GSM27027.52.M	GSM27028.53.M	GSM27031.66.M	GSM27032.70.M	GSM27034.73.M	GSM27035.77.M	GSM27036.80.M	GSM27038.85.M	GSM27040.90.M	GSM27042.91.M	GSM27043.95.M	GSM27017.27.F	GSM27019.30.F	GSM27020.36.F	GSM27022.38.F	GSM27026.48.F	GSM27029.56.F	GSM27030.61.F	GSM27033.71.F	GSM27037.81.F	GSM27039.87.F	GSM27041.90.F	GSM27044.106.F
32413_at	252.246	237.581	257.974	353.494	259.266	302.224	348.672	170.288	322.852	288.376	296.486	270.118	418.577	165.628	227.549	284.968	257.167	175.943	172.441	72.3667	249.384	272.727	277.809	331.402	267.257	346.199	302.961	281.158	252.048	322.575
32414_at	6.51841	15.9299	12.784	12.8387	12.9909	12.057	8.487	10.8488	10.6236	13.3188	0.001	7.82054	9.2686	5.58203	5.6222	8.7211	7.15194	12.2338	14.4776	10.1345	8.86551	7.39183	9.6637	20.8111	9.2821	13.3642	11.5424	12.6904	15.5104	13.3913
32415_at	108.448	58.1996	147.673	238.587	225.06	142.779	160.595	84.4377	137.032	121.95	214.481	259.712	108.596	81.745	118.657	76.4684	110.492	266.709	158.997	38.1517	50.2313	117.02	44.9376	122.746	98.9931	115.657	50.9803	150.258	243.136	280.126
32416_at	63.6488	90.6019	91.8042	81.5792	110.952	101.918	48.0936	58.0132	82.2943	95.8286	77.133	81.6745	82.754	84.8371	80.9831	54.56	74.1691	139.714	212.139	135.752	89.5404	64.1932	86.4212	109.278	104.708	48.5681	60.5016	62.8721	179.641	86.5713
32417_at	89.4649	71.5899	110.454	90.2274	107.398	101.473	76.5509	99.6313	109.718	83.3726	67.5386	73.9404	74.5947	152.261	65.1909	94.7613	136.786	81.1011	102.896	188.702	85.7159	132.723	71.7567	84.2436	104.611	103.072	88.2186	81.495	88.1819	58.3871
32418_at	52.4695	46.639	62.0788	62.7553	64.9123	60.6168	48.2793	32.0078	59.3123	60.1895	65.1999	27.6219	53.6258	40.4442	69.0483	57.0259	60.0123	63.5755	58.3428	61.3486	59.3406	48.4464	58.8592	58.897	53.8832	57.8793	47.8071	52.4166	67.2708	33.5171
32419_at	299.778	227.211	405.545	362.58	282.82	312.013	375.204	486.452	278.367	487.622	319.012	546.29	389.507	417.812	361.828	335.503	354.78	385.844	262.334	344.33	426.179	416.1	468.186	404.424	360.061	337.825	354.818	428.878	234.511	470.094
32420_at	102.293	81.1997	120.008	87.0044	69.2047	92.1346	124.796	81.4158	102.347	65.0971	108.142	26.2562	105.447	109.702	90.7926	78.4815	113.875	59.6468	79.4736	101.645	84.116	102.11	82.0166	109.46	84.0508	101.149	89.3883	83.5466	76.1839	65.7336
32421_at	114.258	126.303	139.756	136.819	130.641	187.158	116.905	90.2147	131.479	80.7005	134.647	114.253	133.685	101.269	139.138	139.45	109.958	152.388	0.001	122.913	144.535	144.875	211.829	149.286	149.793	174.171	129.008	100.135	209.964	145.041
32422_at	291.113	197.033	390.539	495.882	411.705	320.715	280.528	420.317	366.593	472.243	352.765	501.507	247.653	524.372	338.829	258.748	521.85	426.357	334.271	350.519	357.564	384.63	417.487	336.19	354.161	398.71	235.175	371.287	340.665	465.391
