row.names	control.diet.19300	control.diet.19301	control.diet.19302	control.diet.19303	control.diet.19304	control.diet.19305	ketogenic.diet.19306	ketogenic.diet.19307	ketogenic.diet.19308	ketogenic.diet.19309	ketogenic.diet.19310
1376558_at	161.484	101.385	143.763	145.512	158.466	180.18	181.711	122.85	119.809	192.319	191.009
1376559_at	180.587	196.563	197.296	193.84	158.447	181.784	146.836	121.487	188.45	122.292	127.438
1376560_at	102.673	96.7005	94.8089	83.746	98.8043	80.5094	63.7499	56.3189	93.1998	72.6217	63.6443
1376561_at	73.8466	60.1879	49.178	68.1316	60.8253	74.9732	57.7197	48.6323	40.0005	60.1401	43.6335
1376562_at	147.851	86.6559	112.73	115.747	149.658	103.753	164.49	136.455	85.4033	135.405	130.114
1376563_at	2.62551	3.03444	0.730184	0.614876	2.63337	0.850815	14.0478	4.38954	0.673069	1.08608	8.03913
1376564_at	180.486	186.4	184.532	186.503	168.951	193.781	213.379	203.679	202.633	206.993	229.429
1376565_at	278.835	292.891	294.962	306.45	280.379	297.464	267.673	298.952	327.384	262.983	241.576
1376566_at	243.555	224.537	207.656	215.018	187.246	204.489	143.819	148.782	185.817	119.088	145.181
1376567_at	13.8263	14.2927	12.6984	13.4778	13.3431	14.0308	11.0818	10.1703	13.2852	9.21323	11.3783
1376568_at	119.116	106.566	100.339	123.398	131.882	129.13	123.9	96.2459	117.537	138.292	86.7166
1376569_at	67.4008	47.7035	90.9694	77.4941	90.182	65.6688	103.509	92.9126	77.5328	95.4129	105.922
1376570_at	484.718	524.495	491.255	512.186	493.291	481.247	517.447	559.554	498.613	523.147	507.294
1376571_at	64.0693	110.926	78.0212	117.958	102.17	54.0814	95.7583	68.7479	74.6221	69.6383	81.584
1376572_a_at	102.036	92.6748	92.7341	84.9519	90.3097	87.1576	92.2982	66.6956	77.602	74.4655	84.5219
1376573_at	181.686	158.708	182.92	185.225	171.901	196.797	164.715	192.867	180.453	190.784	204.508
1376574_at	74.2006	82.0283	69.352	76.3132	71.4985	73.9558	46.4638	30.4858	11.3297	39.8673	35.6571
1376575_at	231.483	168.057	157.964	212.062	220.666	132.198	221.723	190.397	144.065	204.095	219.377
1376576_at	4.63268	2.26601	4.06139	2.81263	2.31822	2.29624	5.03526	7.45015	4.76873	21.2533	6.93965
1376577_at	816.142	790.666	786.804	763.026	734.465	823.027	716.863	719.415	840.802	821.564	751.694
1376578_at	100.373	98.0608	101.191	97.7298	97.8472	106.925	82.8462	73.307	82.5327	79.6837	89.7564
1376579_at	58.878	43.2495	51.781	54.0309	55.8179	33.7355	39.7547	33.0803	28.1554	43.3747	50.2932
1376580_at	160.835	186.438	163.724	165.209	163.861	189.679	138.033	147.332	167.413	119.125	138.362
1376581_at	81.3989	77.9332	56.4751	48.5383	84.6229	53.7836	54.5729	80.7618	60.4556	67.007	85.3087
1376582_at	39.8574	27.5358	48.7423	34.5971	23.2976	40.5175	54.3234	37.8766	19.538	63.8075	58.0069
1376583_at	493.848	443.862	471.835	459.475	463.95	507.338	462.882	531.418	558.355	419.948	471.513
1376584_at	137.417	185.646	172.115	180.714	155.034	164.716	113.941	107.456	146.492	149.124	148.712
1376585_at	166.209	172.458	168.258	185.621	193.687	164.4	183.429	164.368	156.337	167.074	155.494
1376586_at	74.4483	67.6807	73.6382	56.8878	67.2005	70.9102	68.1827	43.7289	86.1385	73.5849	55.0116
1376587_at	305.622	242.381	247.779	246.533	237.808	204.455	236.741	253.372	198.651	242.574	259.884
1376588_at	155.493	142.478	130.119	187.958	221.496	142.793	190.474	165.612	126.416	158.537	161.982
1376589_at	483.24	450.385	447.451	454.632	466.91	474.665	547.157	600.036	466.561	511.601	520.93
1376590_at	158.757	171.175	178.348	139.097	136.329	150.155	190.064	213.851	147.443	208.914	180.58
1376591_a_at	137.613	149.299	117.939	120.874	126.399	126.983	105.2	79.519	131.375	89.609	100.924
1376592_at	123.884	115.788	110.026	117.864	122.586	93.8062	107.142	118.942	122.458	121.776	111.182
1376593_at	232.931	207.279	214.65	242.267	214.149	227.62	288.918	258.811	212.021	236.836	260.335
1376594_at	71.9132	72.8077	75.1273	84.2255	80.9368	87.7386	70.417	81.0552	83.4542	62.9376	76.5311
1376595_at	98.3092	101.654	77.6663	81.354	83.3853	79.971	67.315	73.4807	90.8776	75.6315	76.7416
1376596_at	238.035	236.299	225.706	262.455	219.068	207.616	281.164	242.643	292.191	259.29	254.853
1376597_at	114.763	77.855	95.4648	102.872	105.465	102.851	95.8812	113.717	129.353	98.2884	93.4475
1376598_at	123.715	124.646	112.473	101.664	110.936	120.812	142.739	134.958	119.164	139.398	136.961
1376599_at	52.4596	37.8318	40.1969	61.1889	52.3891	45.9364	45.1482	53.3203	25.9563	46.5721	35.0292
1376600_at	191.888	175.306	184.543	189.136	183.031	144.614	159.707	144.848	183.25	176.28	179.571
1376601_at	108.963	112.796	120.299	112.603	118.94	115.431	120.372	85.9725	99.6005	96.0645	107.305
1376602_a_at	91.1856	109.927	92.0193	92.549	83.368	96.0422	70.9422	80.0092	79.0041	76.4799	85.6892
1376603_at	115.216	134.878	133.192	116.044	144.944	151.512	117.152	129.2	113.266	94.9433	116.16
1376604_at	3.0519	2.85841	2.70156	1.89235	10.3837	2.40484	4.71516	3.0487	2.84815	7.07535	2.66059
1376605_at	43.8982	48.6598	60.0005	52.2592	60.6651	65.4822	94.1179	73.7623	74.3791	89.544	76.2236
1376606_a_at	154.097	140.324	152.45	163.54	168.842	141.391	178.272	167.774	145.621	175.557	165.716
1390380_at	343.111	373.93	350.007	356.183	363.017	368.562	330.531	332.32	363.296	376.815	361.124
1376607_a_at	41.9661	41.327	40.4111	9.65283	33.5743	23.868	26.1632	30.2062	35.8727	18.9486	24.0951
1376608_at	139.15	181.076	146.592	185.426	143.597	162.485	153.776	190.842	165.733	144.95	177.987
1390381_at	193.611	171.376	178.797	175.025	188.985	149.049	169.96	175.591	163.357	155.109	172.473
1376609_at	145.222	147.525	137.053	128.977	152.031	102.412	150.748	156.049	135.965	153.382	141.834
1376610_a_at	49.1276	33.4919	44.8847	50.7411	53.5106	46.8703	54.3083	46.0165	31.0186	58.0514	50.3138
1390382_at	236.918	229.891	215.807	250.837	214.857	301.69	286.017	311.856	291.064	231.615	266.31
1376611_at	15.8323	25.1053	17.3121	18.8258	29.6062	20.0821	17.21	19.011	22.9257	22.2945	14.2712
1390383_at	108.225	138.634	144.259	131.75	134.88	145.696	120.654	106.273	107.486	99.6678	99.2379
1376612_at	15.9555	6.47196	18.7537	11.8941	20.2411	22.0029	30.9459	24.7976	18.5179	32.0402	28.7968
1376613_at	210.701	263.892	267.755	213.189	239.1	239.331	223.663	193.456	200.137	215.888	254.562
1390384_at	66.994	59.7613	80.2851	81.1228	66.4558	71.5575	68.6674	91.4867	72.8618	73.2891	52.5127
